,id,sneaker,price,brand,date
3,4,['Air Huarache Light Stussy Orange'],145,Air,release: 01/01/2003
4,5,['Air Force 2 High Escape'],150,Air,release: 01/01/2003
5,6,['Nike Vandal High Canvas Haight Street'],226,Nike,release: 01/01/2003
6,7,['Air Huarache Light Stussy Green'],275,Air,release: 01/01/2003
7,8,['Air Trainer SC High Curry'],399,Air,release: 01/01/2003
8,9,['Nike Vandal High Canvas Jim Morrison'],499,Nike,release: 01/01/2003
9,10,['Nike Dunk SB Low Bucks'],849,Nike,release: 01/01/2003
10,11,['Air Flightposite White Uni Blue'],900,Air,release: 01/01/2003
11,12,['Air Zoom Generation White Black'],210,Air,release: 12/20/2003
12,13,['Air Zoom Generation First Game'],400,Air,release: 11/05/2003
13,14,['Nike Dunk SB High Brown Pack'],228,Nike,release: 11/01/2003
14,15,['Jordan 18 OG Low Melo'],135,Jordan,release: 09/06/2003
15,16,['Nike SB Dunk High Iron'],423,Nike,release: 09/01/2003
16,17,['Nike Dunk SB Low Barf'],445,Nike,release: 09/01/2003
17,18,['Jordan Nu Retro Air Jordan 2 Black Chrome'],180,Jordan,release: 08/30/2003
18,19,['Jordan 8 Retro Low Playoffs (2003)'],400,Jordan,release: 08/23/2003
19,20,['Jordan Nu Retro Air Jordan 2 White Varsity Red'],150,Jordan,release: 07/12/2003
20,21,['Nike Dunk SB Low Pure Blood'],592,Nike,release: 07/01/2003
21,22,['Jordan 8 Retro Low White Metallic Silver'],165,Jordan,release: 06/21/2003
22,23,['Jordan 18 OG Low Black Silver Chrome'],140,Jordan,release: 05/31/2003
23,24,['Jordan 11 Retro Low IE Cobalt (2003)'],160,Jordan,release: 05/24/2003
24,25,['Jordan 11 Retro Low IE Bred'],220,Jordan,release: 05/24/2003
0,1,['Jordan 19 OG Low Cinder British Khaki'],455,Jordan,release: 12/01/2004
1,2,['Nike SB Dunk Low Grit Team Red'],799,Nike,release: 12/01/2004
2,3,['Nike LeBron Zoom 2 Black Crimson'],275,Nike,release: 11/06/2004
3,4,['Nike Dunk SB Low Reese Forbes Hunter'],342,Nike,release: 11/01/2004
4,5,['Jordan 19 OG Low Obsidian Vapor'],455,Jordan,release: 11/01/2004
5,6,['Air Zoom Generation USA'],200,Air,release: 10/01/2004
6,7,['Nike Dunk High Pro SB Tweed'],370,Nike,release: 09/01/2004
7,8,['Air Zoom Generation White Metallic Silver'],150,Air,release: 09/01/2004
8,9,['Nike Dunk SB Low Tweed'],323,Nike,release: 09/01/2004
9,10,['Jordan 19 OG Low Black Red'],250,Jordan,release: 08/07/2004
10,11,['Air Zoom Generation White Varsity Royal'],376,Air,release: 08/01/2004
11,12,['Nike SB Dunk High Daniel Shimizu'],350,Nike,release: 07/01/2004
12,13,['Nike Dunk SB Low Cali (2004)'],550,Nike,release: 07/01/2004
13,14,['Nike SB Dunk Low Medicom 1'],800,Nike,release: 07/01/2004
14,15,['Jordan 12 Retro Low Real Pink (GS)'],500,Jordan,release: 06/22/2004
15,16,['Jordan 1 Retro Low White (2004)'],125,Jordan,release: 06/12/2004
16,17,['Jordan 1 Retro Low Navy (2004)'],500,Jordan,release: 06/12/2004
17,18,['Nike Dunk SB Low Carhartt'],667,Nike,release: 06/01/2004
18,19,['Nike SB Dunk Low Carhartt Shale'],400,Nike,release: 06/01/2004
0,1,['Jordan 20 OG 3/4 White Garnet'],123,Jordan,release: 12/01/2005
1,2,['Nike Dunk SB High De La Soul (2005)'],499,Nike,release: 11/01/2005
2,3,['Nike SB Paul Rodriguez Birch'],240,Nike,release: 11/01/2005
3,4,['Nike SB Dunk High Kentucky (2005)'],300,Nike,release: 11/01/2005
4,5,['Nike SB Dunk High Iowa'],400,Nike,release: 11/01/2005
5,6,['Nike Dunk SB Low Avenger Purple Patent'],450,Nike,release: 11/01/2005
6,7,['Nike Dunk SB Low Avenger Blue Patent'],565,Nike,release: 11/01/2005
7,8,['Nike SB Dunk High Villanova (2005)'],650,Nike,release: 11/01/2005
8,9,['Nike SB Dunk Low Black Pack Halloween'],275,Nike,release: 10/01/2005
9,10,['Nike Dunk SB Low De La Soul (2005)'],355,Nike,release: 10/01/2005
10,11,['Nike SB Dunk High Melvins (Black)'],451,Nike,release: 09/01/2005
11,12,['Jordan 13 Retro Low Uni Blue (W)'],200,Jordan,release: 05/07/2005
12,13,['Nike Dunk SB Low J Pack Royal'],260,Nike,release: 05/01/2005
13,14,['Nike Dunk SB Low Cinco de Mayo'],300,Nike,release: 05/01/2005
14,15,['Jordan 13 Retro Low Cherry (2005)'],190,Jordan,release: 04/23/2005
15,16,['Jordan 13 Retro Low All White'],200,Jordan,release: 04/23/2005
16,17,['Lebron Zoom 2 Low White'],200,Lebron,release: 04/01/2005
17,18,['Nike Dunk SB Low Boca Juniors'],300,Nike,release: 04/01/2005
18,19,['Nike SB Dunk Low Hawaii'],375,Nike,release: 02/02/2005
19,20,['Nike Dunk SB High T19 Royal Blue'],200,Nike,release: 02/01/2005
20,21,['Air Zoom Huarache 2K5 All-Star (2005)'],250,Air,release: 02/01/2005
21,22,['Nike SB Dunk Low Raygun Home'],800,Nike,release: 02/01/2005
22,23,['Air Trainer 1 SB Huf Gold Digger'],165,Air,release: 01/01/2005
23,24,['Nike Dunk Low 1-Piece Laser Varsity Red Chartreuse'],226,Nike,release: 01/01/2005
24,25,['adidas Superstar 35th Anniversary Expression adiColor White'],300,adidas,release: 01/01/2005
25,26,['Nike SB Dunk High Black Midnight Fog'],309,Nike,release: 01/01/2005
26,27,['adidas Superstar Captain Tsubasa'],386,adidas,release: 01/01/2005
27,28,['Nike Dunk SB Low Pushead 1'],450,Nike,release: 01/01/2005
28,29,['Nike Dunk Low NL Desert Clay'],475,Nike,release: 01/01/2005
29,30,['adidas Superstar 1 Music Rocafella'],500,adidas,release: 01/01/2005
30,31,['A Bathing Ape Bapesta Marvel Comics Human Torch'],543,A,release: 01/01/2005
31,32,['Nike Dunk High 1-Piece Laser Spice'],612,Nike,release: 01/01/2005
32,33,['Air Force 1 Low Supreme Ostrich Baroque Brown'],750,Air,release: 01/01/2005
33,34,['A Bathing Ape Bapesta Marvel Comics Captain America'],799,A,release: 01/01/2005
34,35,['Nike Dunk SB Low Shanghai 2'],564,Nike,release: 09/01/2005
35,36,['Jordan 13 Retro Low Cuse'],250,Jordan,release: 08/20/2005
36,37,['Air Zoom Huarache 2K5 Celtics (Sole Collector)'],666,Air,release: 08/20/2005
37,38,['Air Zoom Huarache 2K5 Cowboy (Sole Collector)'],999,Air,release: 08/20/2005
38,39,['Nike Dunk SB Low Stussy Cherry'],900,Nike,release: 07/01/2005
39,40,['Nike SB Paul Rodriguez Dark Loden'],220,Nike,release: 07/01/2005
40,41,['Jordan 20 OG Low White Navy'],160,Jordan,release: 06/04/2005
41,42,['Air Zoom Huarache 2K5 Lakers Home'],250,Air,release: 06/01/2005
42,43,['Nike Dunk SB Low Avenger Navy'],250,Nike,release: 06/01/2005
43,44,['Nike SB Dunk High Dark Obsidian Shy Pink'],275,Nike,release: 06/01/2005
44,45,['Nike Dunk SB Low Avenger Purple'],345,Nike,release: 06/01/2005
45,46,['Jordan 2 Retro Low White Varsity Maize'],165,Jordan,release: 05/21/2005
46,47,['Jordan 13 Retro Low Black Varsity Maize'],249,Jordan,release: 05/21/2005
47,48,['Nike Dunk SB Low Shanghai 2'],564,Nike,release: 09/01/2005
48,49,['Jordan 13 Retro Low Cuse'],250,Jordan,release: 08/20/2005
49,50,['Air Zoom Huarache 2K5 Celtics (Sole Collector)'],666,Air,release: 08/20/2005
50,51,['Air Zoom Huarache 2K5 Cowboy (Sole Collector)'],999,Air,release: 08/20/2005
51,52,['Nike Dunk SB Low Stussy Cherry'],900,Nike,release: 07/01/2005
52,53,['Nike SB Paul Rodriguez Dark Loden'],220,Nike,release: 07/01/2005
53,54,['Jordan 20 OG Low White Navy'],160,Jordan,release: 06/04/2005
54,55,['Air Zoom Huarache 2K5 Lakers Home'],250,Air,release: 06/01/2005
55,56,['Nike Dunk SB Low Avenger Navy'],250,Nike,release: 06/01/2005
56,57,['Nike SB Dunk High Dark Obsidian Shy Pink'],275,Nike,release: 06/01/2005
57,58,['Nike Dunk SB Low Avenger Purple'],345,Nike,release: 06/01/2005
58,59,['Jordan 2 Retro Low White Varsity Maize'],165,Jordan,release: 05/21/2005
59,60,['Jordan 13 Retro Low Black Varsity Maize'],249,Jordan,release: 05/21/2005
60,61,['Nike SB Paul Rodriguez Green Bean'],250,Nike,release: 12/01/2006
61,62,['Nike Dunk SB Low Tokyo Blue Taxi'],275,Nike,release: 12/01/2006
62,63,['Nike Dunk SB Low Tokyo Green Taxi'],310,Nike,release: 12/01/2006
63,64,['Reebok Court Victory Pump Alife Ball Out Orange'],248,Reebok,release: 11/24/2006
64,65,['Nike SB Dunk Low Mafia'],250,Nike,release: 11/01/2006
65,66,['Nike SB Zoom Team Edition New York Taxi'],225,Nike,release: 10/01/2006
66,67,['Nike SB Dunk Low Aqua Chalk'],450,Nike,release: 10/01/2006
0,1,['Nike SB Paul Rodriguez Green Bean'],250,Nike,release: 12/01/2006
1,2,['Nike Dunk SB Low Tokyo Blue Taxi'],275,Nike,release: 12/01/2006
2,3,['Nike Dunk SB Low Tokyo Green Taxi'],310,Nike,release: 12/01/2006
3,4,['Reebok Court Victory Pump Alife Ball Out Orange'],248,Reebok,release: 11/24/2006
4,5,['Nike SB Dunk Low Mafia'],250,Nike,release: 11/01/2006
5,6,['Nike SB Zoom Team Edition New York Taxi'],225,Nike,release: 10/01/2006
6,7,['Nike SB Dunk Low Aqua Chalk'],450,Nike,release: 10/01/2006
7,8,['Jordan 21 OG Low Bred'],250,Jordan,release: 09/02/2006
8,9,['Nike SB Dunk Low Bic'],300,Nike,release: 09/01/2006
9,10,['Nike Dunk SB High Mork & Mindy'],404,Nike,release: 09/01/2006
10,11,['Nike Dunk SB Low SBTG'],496,Nike,release: 08/08/2006
11,12,['Nike SB Dunk High Brian Anderson Camo'],230,Nike,release: 08/01/2006
12,13,['Nike SB Paul Rodriguez Cream Brownstone'],170,Nike,release: 08/01/2006
13,14,['Jordan 21 OG Low University Blue'],225,Jordan,release: 07/12/2006
14,15,['Nike SB Air Classic Dan Murphy'],188,Nike,release: 07/01/2006
15,16,['Nike SB Zoom Team Edition Danny Supa'],275,Nike,release: 07/01/2006
16,17,['Nike Dunk SB Low Weiger'],400,Nike,release: 07/01/2006
17,18,['Nike SB Dunk Low Puff N Stuff'],425,Nike,release: 07/01/2006
0,1,['Jordan 8 Retro Low Dark Cinder (W)'],200,Jordan,release: 12/22/2007
1,2,['Nike SB Dunk Low Joe Strummer'],650,Nike,release: 12/01/2007
2,3,['Air Foamposite One Cactus'],375,Air,release: 11/20/2007
3,4,['Air Trainer 2 SB Supreme Black'],275,Air,release: 11/08/2007
4,5,['Nike SB Air Trainer 2 Supreme Red'],290,Nike,release: 11/08/2007
5,6,['Nike SB Air Trainer 2 Supreme White'],300,Nike,release: 11/08/2007
6,7,['Jordan 1 Retro Low Black Croc'],99,Jordan,release: 11/03/2007
7,8,['Dunk High Premium SB Bloody Sunday'],331,Dunk,release: 11/01/2007
8,9,['Nike Dunk SB High Jason Voorhees'],825,Nike,release: 10/27/2007
9,10,['Nike Dunk SB Low Milli Vanilli'],275,Nike,release: 02/01/2007
10,11,['Nike SB Dunk Mid Linoleum'],300,Nike,release: 02/01/2007
11,12,['Nike Dunk SB High Dinosaur Jr.'],530,Nike,release: 02/01/2007
12,13,['Nike SB Dunk Mid Vapor'],555,Nike,release: 02/01/2007
13,14,['Air Jordan Spizike Black Varsity Red'],110,Air,release: 01/27/2007
14,15,['Jordan 5 Retro Low Metallic White (W)'],199,Jordan,release: 01/20/2007
15,16,['New Balance 1400 Super Team 33 Clown Fish'],234,New,release: 01/20/2007
16,17,['New Balance 1400 Super Team 33 Butterfly Fish'],278,New,release: 01/20/2007
17,18,['Nike Dunk SB Low Gibson Guitar Case'],375,Nike,release: 01/01/2007
18,19,"[""Air Force 1 SPRM '07 Players""]",80,Air,release: 01/01/2007
19,20,['Air Force 1 Low Supreme Original Six Calvin Natt'],100,Air,release: 01/01/2007
20,21,['Nike SB Paul Rodriguez 2 Fuji Rod'],100,Nike,release: 01/01/2007
21,22,['Nike Dunk SB Low Border Blue'],325,Nike,release: 05/01/2007
22,23,['Nike SB Dunk High Money Cat'],275,Nike,release: 04/15/2007
23,24,['Nike Dunk SB Low Money Cat'],350,Nike,release: 04/01/2007
24,25,['Nike Dunk SB High Pee Wee Herman'],375,Nike,release: 04/01/2007
25,26,['Nike SB Dunk Mid Money Cat'],488,Nike,release: 04/01/2007
26,27,['Air Foamposite One Cough Drop (2007)'],305,Air,release: 10/01/2007
27,28,['A Bathing Ape Roadsta DC Comics Batman'],817,A,release: 10/01/2007
28,29,['Jordan Nu Retro 1 Low Black White Stealth (2007)'],70,Jordan,release: 09/29/2007
29,30,['Air Force 1 Low Supreme New Six LeBron James'],300,Air,release: 03/10/2007
30,31,['Nike Dunk SB High Brut'],400,Nike,release: 09/01/2007
31,32,['Nike SB Dunk Low Coral Snake'],380,Nike,release: 09/01/2007
32,33,['Jordan 11 Retro Low IE White Argon Blue'],100,Jordan,release: 08/04/2007
33,34,['Jordan 11 Retro Low IE Argon Blue'],200,Jordan,release: 08/04/2007
34,35,['Nike SB Dunk Low Old Spice'],396,Nike,release: 08/01/2007
35,36,['Air Foamposite One Anthracite'],650,Air,release: 08/01/2007
36,37,['Nike Dunk SB High MF Doom'],575,Nike,release: 07/24/2007
37,38,['Nike SB Dunk High Paul Ulrich'],220,Nike,release: 01/01/2007
38,39,['Air Force 1 High Supreme Rasheed Wallace (New Six)'],225,Air,release: 01/01/2007
39,40,['Nike SB Air Classic Oscar the Grouch'],225,Nike,release: 01/01/2007
40,41,['Nike SB Dunk Mid Heavy Mental'],250,Nike,release: 01/01/2007
41,42,['Air Foamposite One Royal Blue (2007)'],250,Air,release: 01/01/2007
42,43,['Nike SB Dunk High Wood Deck'],250,Nike,release: 01/01/2007
43,44,['Air Force 1 High Bobbito Beef n Broccoli'],299,Air,release: 01/01/2007
44,45,['Air Force 1 High Bobbito Puerto Rico Red'],300,Air,release: 01/01/2007
45,46,['Air Force 1 Low Supreme Jamaal Wilkes'],300,Air,release: 01/01/2007
46,47,['Air Force 1 High Bobbito Puerto Rico Blue'],326,Air,release: 01/01/2007
47,48,['Nike SB Dunk Mid Peacock'],350,Nike,release: 01/01/2007
48,49,['Air Force One Premium Reflector (W)'],355,Air,release: 01/01/2007
49,50,['Nike SB Air Classic White Black'],375,Nike,release: 01/01/2007
50,51,['Air Zoom Huarache 2K4 KB Laser Black Silver Purple'],388,Air,release: 01/01/2007
51,52,['Nike SB Air Classic Cliche'],401,Nike,release: 01/01/2007
52,53,['Nike Trainer Dunk High mita'],425,Nike,release: 01/01/2007
53,54,['Air Force 1 High Bobbito Mac n Cheese'],500,Air,release: 01/01/2007
54,55,['Jordan 11 Retro Low IE Azure (2007)'],270,Jordan,release: 07/21/2007
55,56,['A Bathing Ape Bapesta DC Comics Batman'],690,A,release: 07/15/2007
56,57,['A Bathing Ape Bapesta DC Comics Superman'],550,A,release: 07/15/2007
57,58,['Jordan 11 Retro Low IE Black Zest (GS)'],175,Jordan,release: 06/30/2007
58,59,['Jordan 11 Retro Low IE Silver Zest'],150,Jordan,release: 06/30/2007
59,60,['Jordan 11 Retro Low IE Black Zest'],175,Jordan,release: 06/30/2007
60,61,['Jordan 11 Retro Low IE Black Metallic Gold (W)'],500,Jordan,release: 06/30/2007
61,62,['Air Force 1 07 Low White Black Metallic Silver'],125,Air,release: 06/02/2007
62,63,['Air Tech Challenge Agassi Varsity Purple (2007)'],375,Air,release: 06/01/2007
63,64,['Nike Vandal High Crayons'],500,Nike,release: 06/01/2007
64,65,['Jordan 1 Retro Low West Coast'],277,Jordan,release: 05/26/2007
65,66,['Jordan 1 Retro Low East Side'],145,Jordan,release: 05/26/2007
66,67,['Jordan 1 Retro Low South Side'],150,Jordan,release: 05/26/2007
67,68,['Jordan 1 Retro Low Black Metallic Silver Varsity Red'],150,Jordan,release: 05/26/2007
68,69,['Jordan 1 Retro Low North Side'],159,Jordan,release: 05/26/2007
69,70,['Jordan 1 Retro LS Stealth'],131,Jordan,release: 05/19/2007
70,71,['Jordan 1 Retro Low Canvas White Denim (W)'],150,Jordan,release: 05/19/2007
71,72,['Nike Dunk SB Low Border Blue'],325,Nike,release: 05/01/2007
72,73,['Nike SB Dunk High Money Cat'],275,Nike,release: 04/15/2007
73,74,['Nike Dunk SB Low Money Cat'],350,Nike,release: 04/01/2007
74,75,['Nike Dunk SB High Pee Wee Herman'],375,Nike,release: 04/01/2007
75,76,['Nike SB Dunk Mid Money Cat'],488,Nike,release: 04/01/2007
76,77,['Air Force 1 Low Supreme New Six LeBron James'],300,Air,release: 03/10/2007
0,1,['Nike SB Dunk High RESN (2009)'],249,Nike,release: 12/01/2009
1,2,"['adidas Campus 80s House of Pain x Concepts ""Fine Malt Lyrics""']",400,adidas,release: 03/17/2009
2,3,['Nike SB Dunk High Skate Mental'],300,Nike,release: 12/01/2009
3,4,['Jordan 1 Retro High Strap Black Orion Blue'],664,Jordan,release: 12/01/2009
4,5,['Nike SB Dunk Low Angel and Death'],230,Nike,release: 03/01/2009
5,6,['Nike SB Dunk Mid Cappuccino Silver'],275,Nike,release: 03/01/2009
6,7,['Air Max 90 Current Huarache DQM Bacon'],332,Air,release: 11/19/2009
7,8,['Air Trainer SC High Raiders #34 (2009)'],425,Air,release: 11/19/2009
8,9,['New Balance 1300 Alife Rivington Club Grey'],441,New,release: 02/18/2009
9,10,['Jordan 1 Retro High Metallic Zinc'],553,Jordan,release: 11/14/2009
10,11,['Air Foamposite One Eggplant'],240,Air,release: 02/05/2009
11,12,['Nike SB Dunk High Bloody Gums'],400,Nike,release: 11/07/2009
12,13,['Nike Trainer 1 Low Manny Pacquiao'],170,Nike,release: 11/07/2009
13,14,['Jordan 1 Retro High Pewter'],239,Jordan,release: 01/31/2009
14,15,['Nike SB Dunk Mid Sea Crystal/Ice Green'],175,Nike,release: 05/01/2009
15,16,['Zoom Soldier III Playoffs'],500,Zoom,release: 04/20/2009
16,17,['Zoom Soldier III Black White Red'],500,Zoom,release: 04/17/2009
17,18,['New Balance 575J Fame City x mita'],275,New,release: 04/11/2009
18,19,['Zoom Soldier III Dunkman'],350,Zoom,release: 04/11/2009
19,20,['Nike SB Dunk Mid Nitraid'],220,Nike,release: 04/04/2009
20,21,['Jordan 1 Phat Low Polka Dot White Chlorophyll'],200,Jordan,release: 04/01/2009
21,22,['Nike SB Dunk Mid Justin Brock Workwear'],210,Nike,release: 04/01/2009
22,23,['Nike SB Dunk Mid Workwear'],258,Nike,release: 04/01/2009
23,24,['Nike Dunk SB High Quagmire'],410,Nike,release: 04/01/2009
24,25,['Nike Blazer High Nintendo Wii'],500,Nike,release: 04/01/2009
25,26,['Nike SB Dunk Low Gino Iannucci 3'],225,Nike,release: 06/01/2009
26,27,['Nike SB Dunk High Wet Floor'],225,Nike,release: 06/01/2009
27,28,['Air Tech Challenge Hybrid Volt'],250,Air,release: 06/01/2009
28,29,['Jordan 1 Retro High Premier Hyper Verde'],443,Jordan,release: 06/01/2009
29,30,['Air Max Swingman Remix Jackie Robinson'],200,Air,release: 05/30/2009
30,31,['Nike Dunk SB Low Ms. Pacman'],900,Nike,release: 05/11/2009
31,32,['Zoom Soldier III Army Camo'],159,Zoom,release: 05/11/2009
32,33,['Jordan 1 Retro High Strap White Madeira Ginger'],420,Jordan,release: 08/01/2009
33,34,['Nike SB Dunk High Pacman'],799,Nike,release: 08/01/2009
34,35,['Nike SB Dunk High Miss Piggy'],250,Nike,release: 07/01/2009
35,36,['Nike SB Dunk Mid Northern Lights'],442,Nike,release: 07/01/2009
36,37,['Jordan 1 Phat Low Lakers'],443,Jordan,release: 01/24/2009
37,38,['Nike Dunk SB Mid Beijing Triumvir Fly'],200,Nike,release: 01/10/2009
38,39,['Nike Hypermax NFW Tennis Ball Yellow'],105,Nike,release: 01/01/2009
39,40,['Air Force 1 High Eddie Cruz West Coast'],125,Air,release: 01/01/2009
40,41,['Nike SB Blazer Elite Sub Pop'],174,Nike,release: 01/01/2009
41,42,['Nike SB Paul Rodriguez 2 Black Forest Lemon Drop'],188,Nike,release: 01/01/2009
42,43,['Nike Hyperdunk 08 Kobe Bryant Snakepool'],600,Nike,release: 11/01/2008
43,44,"[""Air Force 1 Supreme All Star '08 TZ NBA All Star 2009""]",189,Air,release: 01/01/2009
44,45,['adidas Conductor Hi Ewing'],205,adidas,release: 01/01/2009
45,46,['Nike SB Dunk High Goofy Boy'],225,Nike,release: 01/01/2009
46,47,['Nike SB Dunk High Twin Peaks'],230,Nike,release: 01/01/2009
47,48,['Nike SB Zoom Air Harbor Black Mean Green'],250,Nike,release: 01/01/2009
48,49,['Nike SB Dunk Mid Goofy Boy'],295,Nike,release: 01/01/2009
49,50,['Air Flightposite Eggplant (2008)'],360,Air,release: 10/11/2008
50,51,['Nike Air Penny II Copper (2009)'],300,Nike,release: 01/01/2009
51,52,['Air Force 2 High Nintendo Wii Pack'],300,Air,release: 01/01/2009
52,53,['Zoom Soldier III Team Bank White Navy'],158,Zoom,release: 09/01/2009
53,54,['Jordan 1 Retro High Strap Grand Purple Varsity Maize'],199,Jordan,release: 09/01/2009
54,55,['Jordan 1 Phat Low Taxi Purple'],443,Jordan,release: 01/01/2009
55,56,['Nike LeBron Zoom Soldier 2 SVSM Away'],255,Nike,release: 10/01/2008
56,57,['Jordan 1 Phat Low Varsity Red'],266,Jordan,release: 10/01/2008
57,58,['Nike Air Penny II Triple Black'],200,Nike,release: 08/01/2009
58,59,['Nike SB Dunk Low Anchorman'],330,Nike,release: 08/01/2009
59,60,['Nike SB Dunk Mid Chocolate'],200,Nike,release: 11/01/2009
60,61,['Nike Dunk SB High Brain Wreck'],275,Nike,release: 10/09/2009
61,62,['Nike SB Dunk High Sport Red Metallic Platinum'],150,Nike,release: 10/01/2009
62,63,['Zoom Soldier III Akron Home'],175,Zoom,release: 10/01/2009
63,64,"[""Jordan Spiz'ike Boot Black Anthracite""]",200,Jordan,release: 10/01/2009
64,65,['Air Total Max Uptempo White Midnight Navy (2009)'],228,Air,release: 10/01/2009
65,66,['Nike SB Dunk Low Green Spark Hoop Orange'],250,Nike,release: 10/01/2009
66,67,['Nike SB Dunk Low un-Hemp'],550,Nike,release: 10/01/2009
67,68,['Zoom Soldier III OSU Home'],800,Zoom,release: 10/01/2009
68,69,['Nike SB Dunk Low Goofy Boy'],450,Nike,release: 01/01/2009
69,70,['Nike SB Dunk Low Iron Man'],200,Nike,release: 12/01/2008
70,71,['Nike Trainer 1 PE Manny Pacquiao Lights Out'],170,Nike,release: 09/25/2009
71,72,['Zoom Soldier III SVSM Home'],185,Zoom,release: 09/18/2009
72,73,['Nike Hyperize Supreme Varsity Royal'],588,Nike,release: 01/01/2009
73,74,['Nike SB Dunk Low Varsity Blue Pink Ice'],588,Nike,release: 01/01/2009
74,75,['Jordan 1 Phat Low Varsity Royal'],443,Jordan,release: 12/01/2008
75,76,['Zoom Soldier III Christ the King Home'],220,Zoom,release: 09/18/2009
76,77,['Air Force 1 High Nitro Microphone'],290,Air,release: 09/12/2009
77,78,['New Balance 1500 Solebox Finals Green'],600,New,release: 01/01/2009
78,79,['Air Max 90 Current Ben Drury Silent Listener'],850,Air,release: 01/01/2009
79,80,['Jordan 1 Retro High Strap White Black Varsity Red'],199,Jordan,release: 11/22/2008
80,81,['Nike SB Dunk Mid Batman'],230,Nike,release: 11/20/2008
81,82,['Nike SB Dunk High Wrinkled Patent (W)'],325,Nike,release: 11/09/2008
82,83,['Jordan 1 Retro High Premier Gucci (2008)'],200,Jordan,release: 11/08/2008
83,84,['Nike Dunk SB Low Mosquito'],553,Nike,release: 11/08/2008
84,85,['Nike SB Dunk Mid Spider Man'],225,Nike,release: 11/01/2008
85,86,['Nike SB Dunk High Venom (2008)'],250,Nike,release: 11/01/2008
86,87,['Jordan 1 Phat Low Black Metallic'],325,Jordan,release: 11/01/2008
87,88,['Jordan 1 Retro High Strap White Madeira Ginger'],420,Jordan,release: 08/01/2009
88,89,['Nike SB Dunk High Pacman'],799,Nike,release: 08/01/2009
89,90,['Nike SB Dunk High Miss Piggy'],250,Nike,release: 07/01/2009
90,91,['Nike SB Dunk Mid Northern Lights'],442,Nike,release: 07/01/2009
91,92,['Nike SB Dunk High RESN (2009)'],249,Nike,release: 12/01/2009
92,93,['Nike SB Dunk High Skate Mental'],300,Nike,release: 12/01/2009
93,94,['Jordan 1 Retro High Strap Black Orion Blue'],664,Jordan,release: 12/01/2009
94,95,['Nike SB Dunk Low Gino Iannucci 3'],225,Nike,release: 06/01/2009
