,sneaker,price,brand
139,['Jordan 1 Retro High Obsidian UNC'],249,Jordan
140,['Jordan 1 Retro High First Class Flight'],175,Jordan
141,['adidas Yeezy Boost 700 V2 Hospital Blue'],276,adidas
142,['Nike Blazer Mid 77 Vintage White Black'],119,Nike
143,['adidas Yeezy Boost 350 V2 Cream/Triple White'],279,adidas
144,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],264,adidas
145,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],289,adidas
146,['adidas Yeezy Boost 700 Magnet'],327,adidas
147,['adidas Yeezy Boost 350 V2 Clay'],319,adidas
148,['adidas Yeezy Boost 350 V2 Sesame'],277,adidas
149,['adidas Yeezy Boost 350 V2 Zebra'],410,adidas
150,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],228,Nike
151,['Jordan 1 Retro Low OG SP Travis Scott'],769,Jordan
152,['adidas Yeezy Boost 700 V2 Geode'],269,adidas
153,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],350,adidas
154,['adidas Yeezy 500 Bone White'],233,adidas
155,['adidas Yeezy Boost 700 Utility Black'],305,adidas
156,['Jordan 1 Retro High Rookie of the Year'],304,Jordan
157,['Jordan 1 Retro High Black Crimson Tint'],184,Jordan
158,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],271,Nike
159,['Jordan 1 Retro High Turbo Green'],260,Jordan
160,['adidas Yeezy 500 Salt'],241,adidas
161,['adidas Yeezy 500 Utility Black'],355,adidas
162,['adidas Yeezy Boost 700 V2 Vanta'],398,adidas
163,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],247,adidas
164,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],215,adidas
165,['Jordan 1 Retro High Obsidian UNC'],150,Jordan
166,['Jordan 1 Retro High First Class Flight'],148,Jordan
167,['adidas Yeezy Boost 700 V2 Hospital Blue'],271,adidas
168,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],208,adidas
169,['Jordan 1 Retro High Satin Black Toe (W)'],416,Jordan
170,['adidas Yeezy Boost 350 V2 Cream/Triple White'],257,adidas
171,['adidas Yeezy 500 Bone White'],210,adidas
172,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],263,adidas
173,['adidas Yeezy Boost 700 Magnet'],304,adidas
174,['Nike Blazer Mid 77 Vintage White Black'],118,Nike
175,['adidas Yeezy Boost 350 V2 Sesame'],260,adidas
176,['adidas Yeezy Boost 350 V2 Clay'],213,adidas
177,['adidas Yeezy Boost 700 Wave Runner Solid Grey'],409,adidas
178,['Jordan 1 Retro Low OG SP Travis Scott'],505,Jordan
179,['adidas Yeezy Boost 350 V2 Zebra'],390,adidas
180,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],163,Nike
181,['adidas Yeezy Boost 700 V2 Geode'],230,adidas
182,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],324,adidas
183,['Jordan 1 Retro High Travis Scott'],747,Jordan
184,['adidas Yeezy 500 Salt'],221,adidas
185,['Jordan 1 Retro High Black Crimson Tint'],118,Jordan
186,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],165,Nike
187,['adidas Yeezy Boost 700 Inertia'],280,adidas
188,['adidas Yeezy 500 Utility Black'],310,adidas
189,['Jordan 1 Retro High Defiant White Black Gym Red'],115,Jordan
190,['adidas Yeezy Boost 700 V2 Vanta'],358,adidas
191,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],247,adidas
192,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],215,adidas
193,['Jordan 1 Retro High Obsidian UNC'],150,Jordan
194,['Jordan 1 Retro High First Class Flight'],148,Jordan
195,['adidas Yeezy Boost 700 V2 Hospital Blue'],271,adidas
196,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],208,adidas
197,['Jordan 1 Retro High Satin Black Toe (W)'],416,Jordan
198,['adidas Yeezy Boost 350 V2 Cream/Triple White'],257,adidas
199,['adidas Yeezy 500 Bone White'],210,adidas
200,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],263,adidas
201,['adidas Yeezy Boost 700 Magnet'],304,adidas
202,['Nike Blazer Mid 77 Vintage White Black'],118,Nike
203,['adidas Yeezy Boost 350 V2 Sesame'],260,adidas
204,['adidas Yeezy Boost 350 V2 Clay'],213,adidas
205,['adidas Yeezy Boost 700 Wave Runner Solid Grey'],409,adidas
206,['Jordan 1 Retro Low OG SP Travis Scott'],505,Jordan
207,['adidas Yeezy Boost 350 V2 Zebra'],390,adidas
208,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],163,Nike
209,['adidas Yeezy Boost 700 V2 Geode'],230,adidas
210,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],324,adidas
211,['Jordan 1 Retro High Travis Scott'],747,Jordan
212,['adidas Yeezy 500 Salt'],221,adidas
213,['Jordan 1 Retro High Black Crimson Tint'],118,Jordan
214,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],165,Nike
215,['adidas Yeezy Boost 700 Inertia'],280,adidas
216,['adidas Yeezy 500 Utility Black'],310,adidas
217,['Jordan 1 Retro High Defiant White Black Gym Red'],115,Jordan
218,['adidas Yeezy Boost 700 V2 Vanta'],358,adidas
219,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],247,adidas
220,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],215,adidas
221,['Jordan 1 Retro High Obsidian UNC'],150,Jordan
222,['Jordan 1 Retro High First Class Flight'],148,Jordan
223,['adidas Yeezy Boost 700 V2 Hospital Blue'],271,adidas
224,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],208,adidas
225,['Jordan 1 Retro High Satin Black Toe (W)'],416,Jordan
226,['adidas Yeezy Boost 350 V2 Cream/Triple White'],257,adidas
227,['adidas Yeezy 500 Bone White'],210,adidas
228,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],263,adidas
229,['adidas Yeezy Boost 700 Magnet'],304,adidas
230,['Nike Blazer Mid 77 Vintage White Black'],118,Nike
231,['adidas Yeezy Boost 350 V2 Sesame'],260,adidas
232,['adidas Yeezy Boost 350 V2 Clay'],213,adidas
233,['adidas Yeezy Boost 700 Wave Runner Solid Grey'],409,adidas
234,['Jordan 1 Retro Low OG SP Travis Scott'],505,Jordan
235,['adidas Yeezy Boost 350 V2 Zebra'],390,adidas
236,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],163,Nike
237,['adidas Yeezy Boost 700 V2 Geode'],230,adidas
238,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],324,adidas
239,['Jordan 1 Retro High Travis Scott'],747,Jordan
240,['adidas Yeezy 500 Salt'],221,adidas
241,['Jordan 1 Retro High Black Crimson Tint'],118,Jordan
242,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],165,Nike
243,['adidas Yeezy Boost 700 Inertia'],280,adidas
244,['adidas Yeezy 500 Utility Black'],310,adidas
245,['Jordan 1 Retro High Defiant White Black Gym Red'],115,Jordan
246,['adidas Yeezy Boost 700 V2 Vanta'],358,adidas
247,['Jordan 1 Retro High Shadow 2018 (GS)'],259,Jordan
248,['adidas Ultra Boost 4.0 Breast Cancer Awareness'],159,adidas
249,['Nike Classic Cortez Stranger Things Hawkins High School'],99,Nike
250,['adidas Ultra Boost 4.0 Core Black (W)'],90,adidas
251,['Jordan 11 Retro Low Golf White Metallic Gold'],206,Jordan
252,['Converse Chuck Taylor All-Star 70s Hi Kith Coca-Cola Denim (2019)'],228,Converse
253,['Nike ZoomX Vaporfly Next% Volt'],205,Nike
254,['Nike Zoom Freak 1 Antetokounbros'],92,Nike
255,['Jordan 1 Retro High Wheat'],125,Jordan
256,['adidas Ultra Boost Nice Kicks Woodstock 50th Anniversary'],255,adidas
257,['Nike Zoom Pegasus 35 Turbo Wolf Grey Hot Punch'],113,Nike
258,['adidas Ultra Boost 1.0 Solar Orange (2019)'],175,adidas
259,['Nike Zoom Freak 1 Greece'],115,Nike
260,['Air Force 1 Low Utility Carhartt WIP Camo'],95,Air
261,['adidas Nite Jogger Grey Two Solar Orange'],78,adidas
262,['Converse Chuck Taylor All-Star 70s Hi Joshua Vides Black'],110,Converse
263,['adidas Ultra Boost OG (2018)'],125,adidas
264,['Jordan 1 Retro High Phantom Gym Red (GS)'],180,Jordan
265,['Nike React Element 87 Volt Racer Pink'],163,Nike
266,['Asics Gel-Lyte 3.1 Ronnie Fieg Super Blue'],245,Asics
267,['Jordan 5 Retro JSP Laney Varsity Royal'],115,Jordan
268,['adidas Ultra Boost 4.0 Non Dye Cloud White'],114,adidas
269,['Jordan 1 Retro High White Snake (W)'],133,Jordan
270,['adidas Yeezy Boost 700 Wave Runner Solid Grey (Kids)'],194,adidas
271,['adidas Ultra Boost Clima Missoni White'],100,adidas
272,['Air Force 1 Flyleather Steve Harrington Earth Day (2019)'],325,Air
273,['Jordan 1 Retro High Bio Beige Anthracite Mystic Green (W)'],165,Jordan
274,['Nike Blazer Mid 77 Habanero Red'],70,Nike
275,['Jordan 1 Retro High Spider-Man Origin Story (TD)'],140,Jordan
276,['Air VaporMax Plus White'],140,Air
277,['Nike Tailwind 79 Stranger Things Hawkins High School'],110,Nike
278,['Nike React Element 55 Black Aurora Green'],80,Nike
279,['adidas Ultra Boost Undefeated Performance Running Black'],103,adidas
280,['Air Foamposite One Floral (W)'],100,Air
281,['Air Force 1 Flyknit 2 Black Pure Platinum'],80,Air
282,['SF Air Force 1 High Dusty Peach'],70,SF
283,['Nike React Element 55 Spruce Volt'],69,Nike
284,['Nike Hyperdunk 2017 Low Olive Gum'],45,Nike
285,['adidas Ultra Boost 4.0 Orchid Tint'],105,adidas
286,['Jordan 1 Retro High City of Flight'],120,Jordan
287,['adidas Ultra Boost 2 City White'],118,adidas
288,['Jordan 4 Retro Flyknit Red'],145,Jordan
289,['adidas Ultra Boost 19 Grey Two'],98,adidas
290,['Nike React Element 87 Orange Peel'],125,Nike
291,['Air Max 720 Saturn Black Dark Grey'],92,Air
292,['Jordan 8 SP Retro SE White Multicolor'],150,Jordan
293,['Nike Cortez Kenny 3 Kendrick Lamar TDE the Championship'],75,Nike
294,['adidas Ultra Boost 2019 Panda'],109,adidas
295,['Nike Flyknit Racer Multi-Color 2.0 (2015/2017)'],95,Nike
296,['React Element 55 SE White'],65,React
297,['Nike React Element 87 Undercover Light Beige Chalk'],215,Nike
298,['Air Max 270 React Hyper Jade'],86,Air
299,['adidas Yeezy Boost 350 V2 Cloud White (Kids)'],140,adidas
300,['Nike Blazer Mid 77 Vintage Pink Foam'],53,Nike
301,['adidas Ultra Boost 19 White Scarlet'],99,adidas
302,['Air Force 1 Vandalized Sail Mystic Green (W)'],125,Air
303,['Nike Zoom Freak 1 Black Multi Photo Blue'],85,Nike
304,['Air Fear Of God Moccasin Particle Beige'],70,Air
305,['adidas Alphaedge 4D Black'],190,adidas
306,['Jordan 11 Retro Low Pink Snakeskin (W) (2019)'],124,Jordan
307,['Air Foamposite Pro Knicks'],140,Air
308,['adidas Yeezy Powerphase Clear Brown'],110,adidas
309,['adidas Ultraboost 4.0 Grey Lime'],78,adidas
310,['Air Force 1 High Riccardo Tisci All-Star 2018 (Black)'],74,Air
311,['adidas ZX4000 4D Easy Mint'],150,adidas
312,['adidas Ultra Boost 3 Black Multi-Color'],115,adidas
313,['adidas Ultra Boost 4 Cloud White Non Dyed (W)'],113,adidas
314,['Nike Zoom Vomero 5 White Racer Blue Black'],70,Nike
315,['adidas Ultra Boost 4.0 Core Black'],119,adidas
316,['Nike Blazer Mid 77 Vintage Sail White'],60,Nike
317,['Jordan Legacy 312 Trainer 3 Medicine Ball'],95,Jordan
318,['Air VaporMax 2019 Triple Black'],120,Air
319,['adidas Yeezy Boost 350 V2 Black (Kids) (Non-Reflective)'],195,adidas
320,['adidas Ultra Boost 1.0 Undefeated Stars and Stripes'],109,adidas
321,"['New Balance OMN1S Clippers ""Return of the Fun Guy""']",169,New
322,['Air Max 270 React Electro Green Yellow Ochre Obsidian'],83,Air
323,['adidas ZX Torsion Bright Cyan'],85,adidas
324,['Jordan 1 Retro High Bred Toe (GS)'],400,Jordan
325,['adidas Human Race NMD Pharrell Holi Festival (Chalk Coral)'],245,adidas
326,['Nike SB Dunk Low Black Pigeon'],274,Nike
327,['Gucci Rubber Slides Red Green'],189,Gucci
328,['adidas Yeezy Desert Boot Oil (Infants)'],114,adidas
329,['Nike React Element 87 Medium Olive Bright Crimson'],110,Nike
330,['Jordan Legacy 312 Low Tech Grey Fire Red Black (GS)'],80,Jordan
331,['Air Force 1 Ultra Flyknit Patriots 6X Champs'],245,Air
332,['Jordan Legacy 312 Desert Camo'],75,Jordan
333,['adidas Yeezy Boost 350 V2 Core Black White'],740,adidas
334,"[""Air Force 1 Low '07 White Obsidian""]",69,Air
335,['Jordan 12 Retro Winter Black'],249,Jordan
336,['adidas Ultra Boost 4.0 Game of Thrones House Targaryen White (W)'],100,adidas
337,['Nike Zoom Vomero 5 A Cold Wall Black'],172,Nike
338,['Nike Zoom Pegasus 35 Turbo Vast Gunsmoke'],80,Nike
339,['Nike ZoomX VaporFly Next% Pink'],221,Nike
340,['Air Force 1 Shadow Pale Ivory (W)'],135,Air
341,['Air VaporMax Run Utility Blue Dusk'],107,Air
342,['Nike Zoom Pegasus 35 Turbo Blackened Blue Orange Peel'],95,Nike
343,['Balenciaga Triple S Clear Sole Black'],772,Balenciaga
344,['Jordan 11 Retro Low Georgetown'],227,Jordan
345,['adidas Yeezy Boost 700 Wave Runner Solid Grey (Infants)'],185,adidas
346,['Nike Blazer Mid 77 Vintage Multi-Color'],107,Nike
347,['Jordan 11 Retro Low Closing Ceremony'],200,Jordan
348,['Air VaporMax Flyknit 2 Orca'],133,Air
349,['Lunar Force 1 Low Acronym (AF100)'],220,Lunar
350,['Air Foamposite One Habanero Red (GS)'],108,Air
351,['Nike React Element 55 White Red'],50,Nike
352,['Converse Chuck Taylor All-Star 70s Ox Chinatown Market UV'],80,Converse
353,['Nike SB Dunk Low Pro Dark Russet Cedar'],84,Nike
354,['Nike Dunk SB Low De La Soul (2015)'],199,Nike
355,['Nike React Presto Barely Volt'],90,Nike
356,['adidas Ultra Boost 19 Linen Green'],110,adidas
357,['Air Max 270 React Geometric Art'],82,Air
358,"[""Air Force 1 '07 XX White (W)""]",151,Air
359,['Converse Chuck Taylor All-Star 70s Hi Comme des Garcons Play Multi-Heart Green'],110,Converse
360,['Nike React Element 55 Light Orewood Brown'],70,Nike
361,['Air Max 720 Saturn All-Star (2019)'],85,Air
362,['Nike Zoom Vomero 5 SP Vast Grey'],97,Nike
363,['adidas Ultra Boost Solar Yellow (2019)'],170,adidas
364,['Air Max Tailwind 4 Supreme White'],195,Air
365,['Nike SB Dunk Low Premium White Game Royal'],95,Nike
366,['Nike React Element 87 Dusty Peach'],100,Nike
367,['adidas Ultra Boost 2.0 Black Reflective'],148,adidas
368,['Nike Zoom Pegasus 35 Turbo Red Orbit'],114,Nike
369,['Air Force 1 Vandalized Sail Chrome Yellow (W)'],107,Air
370,['Nike Adapt Huarache Opti Yellow'],415,Nike
371,['Air More Uptempo Peanut Butter & Jelly (GS)'],100,Air
372,['Nike Adapt Huarache White Black'],415,Nike
373,['Air VaporMax 2019 Barely Grey'],137,Air
374,['Air More Uptempo Hot Punch (W)'],95,Air
375,['Air Foamposite Pro Sequoia'],145,Air
376,['Nike SB Blazer Low Parra'],165,Nike
377,['Nike React Element 55 Black White'],72,Nike
378,['adidas ZX4000 4D Black Onix'],199,adidas
379,['Nike Hyperdunk 2016 Orange'],75,Nike
380,['Air More Uptempo Flax (GS)'],125,Air
381,"['Timberland 6"" Shearling Champion Wheat']",145,Timberland
382,['Air Foamposite One Marble (W)'],250,Air
383,['Converse Chuck Taylor All-Star 70s Hi Comme des Garcons PLAY Black'],142,Converse
384,['Nike React Element 55 Gym Red'],58,Nike
385,['Nike React Element 87 Royal Tint'],139,Nike
386,['Nike ISPA React Low Black'],115,Nike
387,['adidas NMD Hu Trail Pharrell Now Is Her Time Solar Yellow'],209,adidas
388,['Air Force 1 Foamposite Pro Cup Court Purple'],60,Air
389,['Nike Cortez Basic Slip Kendrick Lamar White'],132,Nike
390,['adidas Ultra Boost 2019 Clear Brown Chalk White'],80,adidas
391,['Air Foamposite Pro Color Shift'],144,Air
392,['Air Fear Of God 1 Sail Black'],465,Air
393,['Jordan 1 Retro High Fearless UNC Chicago'],417,Jordan
394,['Nike React Runner ISPA Ghost Aqua Total Crimson'],110,Nike
395,['Jordan Legacy 312 Ghost Green'],108,Jordan
396,['adidas Ultra Boost 4.0 Game of Thrones Nights Watch'],92,adidas
397,['Jordan 11 Retro Low University Blue (2017)'],199,Jordan
398,['Jordan 1 Retro High Paris Saint Germain'],115,Jordan
399,['Jordan 1 Retro High Guava Ice'],80,Jordan
400,['Air Fear Of God Moccasin Pure Platinum'],82,Air
401,['adidas Continental 80 Vulc AriZona Iced Tea Black'],65,adidas
402,['adidas Ultra Boost 4.0 Black White Speckle'],86,adidas
403,['Nike Mars Yard Overshoe Tom Sachs (I)'],63,Nike
404,['Nike Zoom Terra Kiger 5 OFF-WHITE Electric Green (W)'],180,Nike
405,['adidas Ultra Boost 4.0 Parley Core Black Cloud White'],71,adidas
406,['Nike React Runner Mid WR ISPA Blue Void Team Orange'],69,Nike
407,['Converse Chuck Taylor All-Star 70s Hi Kith Classics Black'],134,Converse
408,['adidas Ultra Boost 4.0 White Multi-Color 2'],120,adidas
409,['Air Foamposite One Particle Beige (W)'],179,Air
410,['adidas NMD Hu Trail Pharrell Now Is Her Time Light Pink'],200,adidas
411,['Converse Chuck Taylor All-Star 70s Ox Comme des Garcons PLAY Black'],123,Converse
412,['Converse Chuck Taylor All-Star 70s Hi Comme des Garcons Play Multi-Heart White'],112,Converse
413,['Jordan Legacy 312 White Black Pink Foam (GS)'],70,Jordan
414,['Air Foamposite One USA (W)'],190,Air
415,['Jordan 1 Retro High Black Gym Red (GS)'],165,Jordan
416,['Air Fear Of God Raid Black'],169,Air
417,['Converse Chuck Taylor All-Star 70s Hi Chinatown Market UV'],104,Converse
418,['adidas Ultra Boost 2019 Footwear White'],101,adidas
419,['Air Force 1 Type Black'],120,Air
420,['adidas Ultra Boost 2 City Stars and Stripes'],107,adidas
421,['Air Jordan 1 Mid Yellow Toe Black'],105,Air
422,['adidas Ultra Boost 4.0 Bape Camo Black'],242,adidas
423,['adidas Solar Hu Glide Human Made White Red'],140,adidas
424,['Jordan 11 Retro Low Snake Navy 2019 (GS)'],153,Jordan
